,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Iranshahr,0,IR,1614055139,42,27.2025,60.6848,62.6,6.91
1,Busselton,0,AU,1614055140,32,-33.65,115.3333,87.03,7.45
2,Carnarvon,0,AU,1614054901,16,-24.8667,113.6333,105.8,12.66
3,Punta Arenas,75,CL,1614055140,57,-53.15,-70.9167,44.6,6.91
4,Xining,58,CN,1614055140,36,36.6167,101.7667,48.7,2.95
5,San Cristobal,29,VE,1614055141,86,7.7669,-72.225,65.16,1.07
6,Lebu,0,CL,1614055141,79,-37.6167,-73.65,54.46,17.9
7,Jamestown,90,US,1614054972,86,42.097,-79.2353,30.0,16.11
8,Esim,89,GH,1614055142,84,4.8699,-2.2405,78.21,4.74
9,Mineros,75,BO,1614055143,94,-17.1167,-63.2333,77.0,6.91
10,New Norfolk,73,AU,1614055143,45,-42.7826,147.0587,64.99,1.99
11,Qaanaaq,78,GL,1614055143,74,77.484,-69.3632,3.13,5.79
12,Bilibino,38,RU,1614055143,81,68.0546,166.4372,-27.2,1.39
13,Hermanus,7,ZA,1614055143,83,-34.4187,19.2345,57.99,1.16
14,Galle,99,LK,1614055030,68,6.0367,80.217,83.66,5.91
15,Athens,0,GR,1614055144,66,37.9795,23.7162,46.99,4.61
16,El Reno,1,US,1614055144,61,35.5323,-97.955,46.0,8.05
17,Pacific Grove,1,US,1614055145,76,36.6177,-121.9166,55.4,4.47
18,Yar-Sale,61,RU,1614055145,86,66.8333,70.8333,-23.78,6.87
19,São Filipe,1,CV,1614055145,76,14.8961,-24.4956,70.41,7.54
20,Marawi,13,PH,1614055145,83,7.9986,124.2928,82.0,8.01
21,Dunedin,96,NZ,1614054907,63,-45.8742,170.5036,71.01,5.01
22,Rikitea,51,PF,1614055146,68,-23.1203,-134.9692,79.16,3.71
23,Portland,70,US,1614055146,89,45.5234,-122.6762,45.0,5.41
24,Beloha,22,MG,1614054988,72,-25.1667,45.05,81.63,13.06
25,Narsaq,20,GL,1614055146,42,60.9167,-46.05,19.4,10.36
26,Vaini,20,TO,1614055147,74,-21.2,-175.2,82.4,10.36
27,Bambous Virieux,40,MU,1614055147,74,-20.3428,57.7575,82.0,12.66
28,Ushuaia,75,AR,1614054893,87,-54.8,-68.3,41.0,34.52
29,Pangoa,85,PE,1614055147,86,-12.1167,-73.0,68.7,2.37
30,Black River,20,JM,1614055148,78,18.0264,-77.8487,75.2,1.14
31,Ribeira Grande,91,PT,1614055148,64,38.5167,-28.7,56.86,26.78
32,La Paz,75,BO,1614054909,70,-16.5,-68.15,42.8,3.44
33,Oudtshoorn,75,ZA,1614054956,88,-33.5907,22.2014,62.6,3.44
34,Saint-Philippe,0,RE,1614055150,65,-21.3585,55.7679,82.99,17.27
35,Camacha,20,PT,1614055150,88,33.0833,-16.3333,59.0,5.75
36,Mataura,69,NZ,1614055150,42,-46.1927,168.8643,78.01,8.01
37,Alibag,14,IN,1614055150,42,18.6411,72.8792,84.2,6.91
38,East London,0,ZA,1614055151,88,-33.0153,27.9116,68.0,6.91
39,Castro,2,BR,1614054945,96,-24.7911,-50.0119,59.68,3.49
40,Cape Town,0,ZA,1614054902,77,-33.9258,18.4232,62.6,6.91
41,La Ronge,66,CA,1614055151,85,55.1001,-105.2842,10.4,1.14
